algorithm,error_rate,runtime_sec,K,S,H,T,requested_traj_per_user,n_traj_per_user,n_effective_transitions_per_user,repeat,run_seed
ours_stage1plus2_em10,0.4973333333333333,5.099722841754556,10,100,10,750,75,75,750,28,12144
mdpmix_original_clust_th1e-06,0.8220000000000001,17.180900683626533,10,100,10,750,75,75,750,28,12144
mdpmix_original_em_th1e-06,0.792,0.14494717679917812,10,100,10,750,75,75,750,28,12144
mdpmix_original_clust_th5e-06,0.834,15.268138229846954,10,100,10,750,75,75,750,28,12144
mdpmix_original_em_th5e-06,0.84,0.08823950216174126,10,100,10,750,75,75,750,28,12144
mdpmix_original_clust_th1e-05,0.834,18.683499915525317,10,100,10,750,75,75,750,28,12144
mdpmix_original_em_th1e-05,0.84,0.10653654299676418,10,100,10,750,75,75,750,28,12144
ours_stage1,0.4813333333333333,170.3025023303926,10,100,10,750,75,75,750,29,12145
ours_stage1plus2_em10,0.45733333333333337,1.5145744197070599,10,100,10,750,75,75,750,29,12145
mdpmix_original_clust_th1e-06,0.798,13.743754284456372,10,100,10,750,75,75,750,29,12145
mdpmix_original_em_th1e-06,0.7973333333333333,0.12057277746498585,10,100,10,750,75,75,750,29,12145
mdpmix_original_clust_th5e-06,0.836,13.501239424571395,10,100,10,750,75,75,750,29,12145
mdpmix_original_em_th5e-06,0.8493333333333333,0.11314225941896439,10,100,10,750,75,75,750,29,12145
mdpmix_original_clust_th1e-05,0.84,16.095956828445196,10,100,10,750,75,75,750,29,12145
mdpmix_original_em_th1e-05,0.8533333333333333,0.127993144094944,10,100,10,750,75,75,750,29,12145
ours_stage1,0.33333333333333337,168.38756662979722,10,100,20,750,75,75,1500,0,22206
ours_stage1plus2_em10,0.31866666666666665,1.692942863330245,10,100,20,750,75,75,1500,0,22206
mdpmix_original_clust_th1e-06,0.844,20.213178189471364,10,100,20,750,75,75,1500,0,22206
mdpmix_original_em_th1e-06,0.796,0.521727355197072,10,100,20,750,75,75,1500,0,22206
mdpmix_original_clust_th5e-06,0.846,16.080127999186516,10,100,20,750,75,75,1500,0,22206
mdpmix_original_em_th5e-06,0.7226666666666667,0.14974340051412582,10,100,20,750,75,75,1500,0,22206
mdpmix_original_clust_th1e-05,0.85,16.269659059122205,10,100,20,750,75,75,1500,0,22206
mdpmix_original_em_th1e-05,0.7066666666666667,0.29604968801140785,10,100,20,750,75,75,1500,0,22206
ours_stage1,0.31733333333333336,202.86730764433742,10,100,20,750,75,75,1500,1,22207
ours_stage1plus2_em10,0.30933333333333335,1.6530991792678833,10,100,20,750,75,75,1500,1,22207
mdpmix_original_clust_th1e-06,0.802,17.82980078831315,10,100,20,750,75,75,1500,1,22207
mdpmix_original_em_th1e-06,0.5666666666666667,0.18368221074342728,10,100,20,750,75,75,1500,1,22207
mdpmix_original_clust_th5e-06,0.83,24.23059125058353,10,100,20,750,75,75,1500,1,22207
mdpmix_original_em_th5e-06,0.7146666666666667,0.2999324146658182,10,100,20,750,75,75,1500,1,22207
mdpmix_original_clust_th1e-05,0.796,19.254728708416224,10,100,20,750,75,75,1500,1,22207
mdpmix_original_em_th1e-05,0.6546666666666667,0.1426878310739994,10,100,20,750,75,75,1500,1,22207
ours_stage1,0.3573333333333333,201.89146494306624,10,100,20,750,75,75,1500,2,22208
ours_stage1plus2_em10,0.33599999999999997,10.432748585939407,10,100,20,750,75,75,1500,2,22208
mdpmix_original_clust_th1e-06,0.844,16.647263012826443,10,100,20,750,75,75,1500,2,22208
mdpmix_original_em_th1e-06,0.7026666666666667,0.18908360600471497,10,100,20,750,75,75,1500,2,22208
mdpmix_original_clust_th5e-06,0.878,11.736238781362772,10,100,20,750,75,75,1500,2,22208
mdpmix_original_em_th5e-06,0.844,0.13933775201439857,10,100,20,750,75,75,1500,2,22208
mdpmix_original_clust_th1e-05,0.874,20.278325028717518,10,100,20,750,75,75,1500,2,22208
mdpmix_original_em_th1e-05,0.7986666666666666,0.37648273818194866,10,100,20,750,75,75,1500,2,22208
ours_stage1,0.3453333333333334,131.21742136403918,10,100,20,750,75,75,1500,3,22209
ours_stage1plus2_em10,0.33466666666666667,2.3070339169353247,10,100,20,750,75,75,1500,3,22209
mdpmix_original_clust_th1e-06,0.848,28.89096936956048,10,100,20,750,75,75,1500,3,22209
mdpmix_original_em_th1e-06,0.7973333333333333,0.5526312701404095,10,100,20,750,75,75,1500,3,22209
mdpmix_original_clust_th5e-06,0.842,16.433911222964525,10,100,20,750,75,75,1500,3,22209
mdpmix_original_em_th5e-06,0.712,0.14448374323546886,10,100,20,750,75,75,1500,3,22209
mdpmix_original_clust_th1e-05,0.838,13.11895664036274,10,100,20,750,75,75,1500,3,22209
mdpmix_original_em_th1e-05,0.6986666666666667,0.16027807630598545,10,100,20,750,75,75,1500,3,22209
ours_stage1,0.33599999999999997,202.768306305632,10,100,20,750,75,75,1500,4,22210
ours_stage1plus2_em10,0.32533333333333336,3.902141470462084,10,100,20,750,75,75,1500,4,22210
mdpmix_original_clust_th1e-06,0.866,19.484874153509736,10,100,20,750,75,75,1500,4,22210
mdpmix_original_em_th1e-06,0.796,0.8165143262594938,10,100,20,750,75,75,1500,4,22210
mdpmix_original_clust_th5e-06,0.85,16.90054272301495,10,100,20,750,75,75,1500,4,22210
mdpmix_original_em_th5e-06,0.7693333333333333,0.3163321055471897,10,100,20,750,75,75,1500,4,22210
mdpmix_original_clust_th1e-05,0.852,19.734214648604393,10,100,20,750,75,75,1500,4,22210
