q,H,metric,mean,lo,hi
0.03,1800,D_pi_manual,0.004456106659104799,0.004456106659104799,0.004456106659104799
0.03,1800,Delta_W,0.004000000000000092,0.004000000000000092,0.004000000000000092
0.03,1800,gamma_ps,0.02399354563239109,0.02399354563239109,0.02399354563239109
0.03,1800,oracle,0.0316666666666667,0.02783333333333336,0.03550000000000004
0.03,1800,stage1,0.4763333333333332,0.4671666666666667,0.4836666666666666
0.03,1800,stage2,0.0371666666666667,0.033162500000000025,0.04183333333333336
0.03,1900,D_pi,0.004456106659104799,0.004456106659104799,0.004456106659104799
0.03,1900,D_pi_manual,0.004456106659104799,0.004456106659104799,0.004456106659104799
0.03,1900,Delta_W,0.004000000000000092,0.004000000000000092,0.004000000000000092
0.03,1900,gamma_ps,0.02399354563239109,0.02399354563239109,0.02399354563239109
0.03,1900,oracle,0.030833333333333362,0.026500000000000024,0.0351666666666667
0.03,1900,stage1,0.46666666666666673,0.45783333333333337,0.47433333333333333
0.03,1900,stage2,0.03300000000000003,0.029500000000000026,0.036666666666666695
0.03,2000,D_pi,0.004456106659104799,0.004456106659104799,0.004456106659104799
0.03,2000,D_pi_manual,0.004456106659104799,0.004456106659104799,0.004456106659104799
0.03,2000,Delta_W,0.004000000000000092,0.004000000000000092,0.004000000000000092
0.03,2000,gamma_ps,0.02399354563239109,0.02399354563239109,0.02399354563239109
0.03,2000,oracle,0.025333333333333357,0.02200000000000002,0.02883333333333336
0.03,2000,stage1,0.4686666666666667,0.45899999999999996,0.47716666666666663
0.03,2000,stage2,0.02883333333333336,0.024833333333333357,0.03300000000000003
0.05,100,D_pi,0.004456106659104652,0.004456106659104652,0.004456106659104652
0.05,100,D_pi_manual,0.004456106659104652,0.004456106659104652,0.004456106659104652
0.05,100,Delta_W,0.003999999999999811,0.003999999999999811,0.003999999999999811
0.05,100,gamma_ps,0.03783185604063465,0.03783185604063465,0.03783185604063465
0.05,100,oracle,0.37633333333333335,0.3633333333333334,0.3891666666666666
0.05,100,stage1,0.4703333333333333,0.46349999999999997,0.4768333333333333
0.05,100,stage2,0.4648333333333334,0.4549958333333333,0.474
0.05,200,D_pi,0.004456106659104652,0.004456106659104652,0.004456106659104652
0.05,200,D_pi_manual,0.004456106659104652,0.004456106659104652,0.004456106659104652
0.05,200,Delta_W,0.003999999999999811,0.003999999999999811,0.003999999999999811
0.05,200,gamma_ps,0.03783185604063465,0.03783185604063465,0.03783185604063465
0.05,200,oracle,0.31200000000000006,0.2998333333333333,0.32400416666666665
0.05,200,stage1,0.47083333333333327,0.4636666666666666,0.4778333333333332
0.05,200,stage2,0.4251666666666666,0.4099999999999999,0.43933333333333324
0.05,300,D_pi,0.004456106659104652,0.004456106659104652,0.004456106659104652
0.05,300,D_pi_manual,0.004456106659104652,0.004456106659104652,0.004456106659104652
0.05,300,Delta_W,0.003999999999999811,0.003999999999999811,0.003999999999999811
0.05,300,gamma_ps,0.03783185604063465,0.03783185604063465,0.03783185604063465
0.05,300,oracle,0.256,0.2435,0.26833333333333337
0.05,300,stage1,0.4736666666666667,0.4665,0.4805
0.05,300,stage2,0.3985000000000001,0.3736625,0.4221666666666666
0.05,400,D_pi,0.004456106659104652,0.004456106659104652,0.004456106659104652
0.05,400,D_pi_manual,0.004456106659104652,0.004456106659104652,0.004456106659104652
0.05,400,Delta_W,0.003999999999999811,0.003999999999999811,0.003999999999999811
0.05,400,gamma_ps,0.03783185604063465,0.03783185604063465,0.03783185604063465
0.05,400,oracle,0.2068333333333333,0.19583333333333336,0.21766666666666667
0.05,400,stage1,0.47133333333333327,0.4658333333333333,0.4766666666666666
0.05,400,stage2,0.3398333333333333,0.30849999999999994,0.3723333333333334
0.05,500,D_pi,0.004456106659104652,0.004456106659104652,0.004456106659104652
0.05,500,D_pi_manual,0.004456106659104652,0.004456106659104652,0.004456106659104652
0.05,500,Delta_W,0.003999999999999811,0.003999999999999811,0.003999999999999811
0.05,500,gamma_ps,0.03783185604063465,0.03783185604063465,0.03783185604063465
0.05,500,oracle,0.17866666666666664,0.16983333333333336,0.1875
0.05,500,stage1,0.4671666666666666,0.4585,0.4753333333333333
0.05,500,stage2,0.2825,0.2466625,0.32199999999999995
0.05,600,D_pi,0.004456106659104652,0.004456106659104652,0.004456106659104652
