q,H,metric,mean,lo,hi
0.05,600,D_pi_manual,0.004456106659104652,0.004456106659104652,0.004456106659104652
0.05,600,Delta_W,0.003999999999999811,0.003999999999999811,0.003999999999999811
0.05,600,gamma_ps,0.03783185604063465,0.03783185604063465,0.03783185604063465
0.05,600,oracle,0.14950000000000005,0.14266666666666666,0.15616666666666668
0.05,600,stage1,0.4723333333333333,0.4644999999999999,0.4795041666666666
0.05,600,stage2,0.20449999999999996,0.18333333333333338,0.22916666666666666
0.05,700,D_pi,0.004456106659104652,0.004456106659104652,0.004456106659104652
0.05,700,D_pi_manual,0.004456106659104652,0.004456106659104652,0.004456106659104652
0.05,700,Delta_W,0.003999999999999811,0.003999999999999811,0.003999999999999811
0.05,700,gamma_ps,0.03783185604063465,0.03783185604063465,0.03783185604063465
0.05,700,oracle,0.132,0.12500000000000003,0.1391666666666667
0.05,700,stage1,0.4726666666666666,0.4661666666666667,0.4789999999999999
0.05,700,stage2,0.18666666666666665,0.15750000000000003,0.2215
0.05,800,D_pi,0.004456106659104652,0.004456106659104652,0.004456106659104652
0.05,800,D_pi_manual,0.004456106659104652,0.004456106659104652,0.004456106659104652
0.05,800,Delta_W,0.003999999999999811,0.003999999999999811,0.003999999999999811
0.05,800,gamma_ps,0.03783185604063465,0.03783185604063465,0.03783185604063465
0.05,800,oracle,0.11016666666666665,0.10416666666666662,0.11616666666666665
0.05,800,stage1,0.4686666666666667,0.46049999999999996,0.4761666666666667
0.05,800,stage2,0.1355,0.12416666666666669,0.14750416666666663
0.05,900,D_pi,0.004456106659104652,0.004456106659104652,0.004456106659104652
0.05,900,D_pi_manual,0.004456106659104652,0.004456106659104652,0.004456106659104652
0.05,900,Delta_W,0.003999999999999811,0.003999999999999811,0.003999999999999811
0.05,900,gamma_ps,0.03783185604063465,0.03783185604063465,0.03783185604063465
0.05,900,oracle,0.101,0.094,0.10816666666666666
0.05,900,stage1,0.4725,0.4648333333333333,0.4795
0.05,900,stage2,0.13383333333333336,0.11183333333333333,0.16199999999999998
0.05,1000,D_pi,0.004456106659104652,0.004456106659104652,0.004456106659104652
0.05,1000,D_pi_manual,0.004456106659104652,0.004456106659104652,0.004456106659104652
0.05,1000,Delta_W,0.003999999999999811,0.003999999999999811,0.003999999999999811
0.05,1000,gamma_ps,0.03783185604063465,0.03783185604063465,0.03783185604063465
0.05,1000,oracle,0.0863333333333333,0.07983333333333335,0.09316666666666663
0.05,1000,stage1,0.4668333333333333,0.4566666666666667,0.47583333333333333
0.05,1000,stage2,0.0973333333333333,0.08866666666666664,0.10633333333333332
0.05,1100,D_pi,0.004456106659104652,0.004456106659104652,0.004456106659104652
0.05,1100,D_pi_manual,0.004456106659104652,0.004456106659104652,0.004456106659104652
0.05,1100,Delta_W,0.003999999999999811,0.003999999999999811,0.003999999999999811
0.05,1100,gamma_ps,0.03783185604063465,0.03783185604063465,0.03783185604063465
0.05,1100,oracle,0.07349999999999998,0.06633333333333334,0.0813333333333333
0.05,1100,stage1,0.47166666666666657,0.4638333333333333,0.4783333333333334
0.05,1100,stage2,0.08616666666666666,0.07833333333333332,0.09467083333333327
0.05,1200,D_pi,0.004456106659104652,0.004456106659104652,0.004456106659104652
0.05,1200,D_pi_manual,0.004456106659104652,0.004456106659104652,0.004456106659104652
0.05,1200,Delta_W,0.003999999999999811,0.003999999999999811,0.003999999999999811
0.05,1200,gamma_ps,0.03783185604063465,0.03783185604063465,0.03783185604063465
0.05,1200,oracle,0.06849999999999999,0.06166666666666668,0.07516666666666666
