T,H,S,repeat,embedding_time,svd_time,clustering_time,refinement_time,total_time,error_stage1,error_stage2
200,500,40,49,0.013896388933062553,0.18226338364183903,0.01029517874121666,0.22605125606060028,0.4325062073767185,0.36,0.36
200,500,40,50,0.01225377805531025,0.339298440143466,0.0018622390925884247,0.22705677524209023,0.5804712325334549,0.375,0.375
200,500,40,51,0.015415629372000694,0.35460424050688744,0.0023060906678438187,0.22646797448396683,0.5987939350306988,0.395,0.395
200,500,40,52,0.012399448081851006,0.35387505777180195,0.0020240917801856995,0.22935659065842628,0.5976551882922649,0.27,0.27
200,500,40,53,0.01129094883799553,0.183179073035717,0.0020014718174934387,0.22447466477751732,0.4209461584687233,0.32999999999999996,0.32999999999999996
200,500,40,54,0.012258470058441162,0.22331042401492596,0.001980353146791458,0.22949695028364658,0.46704619750380516,0.36,0.36
200,500,40,55,0.013178840279579163,0.18520444631576538,0.009921979159116745,0.23471255414187908,0.44301781989634037,0.32999999999999996,0.32999999999999996
200,500,40,56,0.014200609177350998,0.3574094120413065,0.008505895733833313,0.2244589366018772,0.604574853554368,0.355,0.355
200,500,40,57,0.012036368250846863,0.3661109283566475,0.001896379515528679,0.2193094603717327,0.5993531364947557,0.345,0.345
200,500,40,58,0.011324068531394005,0.3351078573614359,0.0024564042687416077,0.22914530709385872,0.5780336372554302,0.365,0.365
200,500,40,59,0.012128578498959541,0.19078456796705723,0.002196073532104492,0.23313939943909645,0.4382486194372177,0.38,0.38
300,500,40,60,0.01627645082771778,0.22031069174408913,0.002967141568660736,0.3415076322853565,0.5810619164258242,0.3866666666666667,0.3866666666666667
300,500,40,61,0.020270144566893578,0.25287569873034954,0.008517064154148102,0.33788803964853287,0.6195509470999241,0.3766666666666667,0.3766666666666667
300,500,40,62,0.019040685147047043,0.43736108392477036,0.008984018117189407,0.31126752868294716,0.776653315871954,0.3533333333333334,0.3533333333333334
300,500,40,63,0.021508917212486267,0.22276625409722328,0.0018284916877746582,0.31524405255913734,0.5613477155566216,0.2733333333333333,0.2733333333333333
300,500,40,64,0.017991263419389725,0.4387908447533846,0.0023346412926912308,0.3286057021468878,0.7877224516123533,0.27,0.27
300,500,40,65,0.018653715029358864,0.29301163367927074,0.0023900028318166733,0.34404648281633854,0.6581018343567848,0.32666666666666666,0.32666666666666666
300,500,40,66,0.01671518385410309,0.3676398992538452,0.0035471413284540176,0.33516718447208405,0.7230694089084864,0.3566666666666667,0.3566666666666667
300,500,40,67,0.016176313161849976,0.21547489613294601,0.0018779449164867401,0.3389061875641346,0.5724353417754173,0.2866666666666666,0.2866666666666666
300,500,40,68,0.016712641343474388,0.23113301023840904,0.0020117629319429398,0.34415314346551895,0.5940105579793453,0.29666666666666663,0.29666666666666663
300,500,40,69,0.018753057345747948,0.30800249613821507,0.0025073103606700897,0.33821346051990986,0.667476324364543,0.3433333333333334,0.3433333333333334
300,500,40,70,0.018344582989811897,0.4472914896905422,0.002271542325615883,0.3167497646063566,0.7846573796123266,0.35,0.35
