T,H,S,repeat,embedding_time,svd_time,clustering_time,refinement_time,total_time,error_stage1,error_stage2
400,500,30,75,0.020570702850818634,0.11748259142041206,0.0167407114058733,0.47978241741657257,0.6345764230936766,0.2975,0.27749999999999997
400,500,30,76,0.02147679589688778,0.12005646340548992,0.016748221591114998,0.48217601887881756,0.6404574997723103,0.05500000000000005,0.015000000000000013
400,500,30,77,0.019885117188096046,0.12396368756890297,0.0165815819054842,0.4753302354365587,0.6357606220990419,0.030000000000000027,0.012499999999999956
400,500,30,78,0.021539462730288506,0.11814721301198006,0.022685224190354347,0.4826731216162443,0.6450450215488672,0.08499999999999996,0.020000000000000018
400,500,30,79,0.020026063546538353,0.1244059894233942,0.01730816252529621,0.48003807850182056,0.6417782939970493,0.020000000000000018,0.012499999999999956
400,500,30,80,0.019861312583088875,0.11936110444366932,0.02124386467039585,0.47270252369344234,0.6331688053905964,0.03500000000000003,0.010000000000000009
400,500,30,81,0.01997147500514984,0.11574242077767849,0.01658119075000286,0.4803996291011572,0.6326947156339884,0.05500000000000005,0.007499999999999951
400,500,30,82,0.021312324330210686,0.12163711525499821,0.015948358923196793,0.48327699303627014,0.6421747915446758,0.022499999999999964,0.007499999999999951
400,500,30,83,0.02128327265381813,0.12316989712417126,0.024938015267252922,0.47598972357809544,0.6453809086233377,0.020000000000000018,0.0
400,500,30,84,0.020221693441271782,0.119612542912364,0.017426254227757454,0.4778578970581293,0.6351183876395226,0.07250000000000001,0.010000000000000009
400,500,30,85,0.021345824003219604,0.11770451441407204,0.028133150190114975,0.4809284396469593,0.6481119282543659,0.0625,0.02749999999999997
400,500,30,86,0.01975143514573574,0.11806329153478146,0.024173695594072342,0.4674284793436527,0.6294169016182423,0.050000000000000044,0.012499999999999956
400,500,30,87,0.021245744079351425,0.12110894359648228,0.015270650386810303,0.4715209323912859,0.6291462704539299,0.030000000000000027,0.010000000000000009
400,500,30,88,0.021887077018618584,0.1209702230989933,0.02321602776646614,0.47434610314667225,0.6404194310307503,0.03749999999999998,0.01749999999999996
400,500,30,89,0.024782337248325348,0.1232539750635624,0.02216542512178421,0.6185873486101627,0.7887890860438347,0.05500000000000005,0.015000000000000013
400,500,40,90,0.02345583587884903,0.3021607529371977,0.018774744123220444,0.4659610912203789,0.810352424159646,0.18000000000000005,0.18000000000000005
400,500,40,91,0.02312992885708809,0.2986883595585823,0.039207637310028076,0.4801193196326494,0.8411452453583479,0.21999999999999997,0.21750000000000003
400,500,40,92,0.023429295048117638,0.30750640854239464,0.0380477961152792,0.4503065384924412,0.8192900381982327,0.345,0.345
400,500,40,93,0.023524435237050056,0.39540535025298595,0.01715000346302986,0.44359772466123104,0.8796775136142969,0.23250000000000004,0.21999999999999997
400,500,40,94,0.021324926987290382,0.3109871279448271,0.01838233321905136,0.46612728014588356,0.8168216682970524,0.38,0.38
400,500,40,95,0.021426767110824585,0.30891700834035873,0.032066114246845245,0.4673328101634979,0.8297426998615265,0.265,0.265
400,500,40,96,0.023635998368263245,0.3642888683825731,0.017299121245741844,0.4450090918689966,0.8502330798655748,0.3075,0.3075
400,500,40,97,0.02229064516723156,0.37977893836796284,0.017323952168226242,0.45509896986186504,0.8744925055652857,0.26249999999999996,0.26
400,500,40,98,0.02090015634894371,0.3497401773929596,0.016674429178237915,0.4492169991135597,0.8365317620337009,0.29500000000000004,0.29500000000000004
400,500,40,99,0.023124516010284424,0.3003933597356081,0.016966983675956726,0.43283844366669655,0.7733233030885458,0.28500000000000003,0.28500000000000003
400,500,40,100,0.02171357534825802,0.2939763367176056,0.018552573397755623,0.46628766879439354,0.8005301542580128,0.19499999999999995,0.19499999999999995
400,500,40,101,0.02172161638736725,0.33445765636861324,0.04056978039443493,0.45472170040011406,0.8514707535505295,0.3175,0.3175
400,500,40,102,0.022923126816749573,0.301136652007699,0.03883196786046028,0.43608637526631355,0.7989781219512224,0.3075,0.3075
400,500,40,103,0.025218600407242775,0.32051433622837067,0.02177124284207821,0.42942182533442974,0.7969260048121214,0.2925,0.29000000000000004
400,500,40,104,0.019557654857635498,0.2613527663052082,0.018884895369410515,0.40773624926805496,0.7075315658003092,0.22250000000000003,0.22250000000000003
400,500,40,105,0.02091839350759983,0.30504918470978737,0.017207583412528038,0.44441857375204563,0.7875937353819609,0.40249999999999997,0.40249999999999997
400,500,40,106,0.023773565888404846,0.30269092321395874,0.03255381062626839,0.4655415266752243,0.8245598264038563,0.22750000000000004,0.22750000000000004
400,500,40,107,0.022009195759892464,0.29026496410369873,0.024088038131594658,0.444797495380044,0.7811596933752298,0.3175,0.3175
400,500,40,108,0.023338735103607178,0.3103710897266865,0.01881636306643486,0.4487699083983898,0.8012960962951183,0.27,0.26749999999999996
400,500,40,109,0.024252666160464287,0.3028874136507511,0.021019525825977325,0.4298061430454254,0.7779657486826181,0.29500000000000004,0.2925
400,500,40,110,0.0238506980240345,0.29594690911471844,0.01886177435517311,0.4377136882394552,0.7763730697333813,0.1975,0.1975
400,500,40,111,0.023521238937973976,0.2980756610631943,0.024378737434744835,0.44363558292388916,0.7896112203598022,0.3375,0.33499999999999996
400,500,40,112,0.02100803330540657,0.3668283000588417,0.016266869381070137,0.4159552250057459,0.8200584277510643,0.345,0.33999999999999997
400,500,40,113,0.021435193717479706,0.37696295604109764,0.03854379802942276,0.4018833041191101,0.8388252519071102,0.3425,0.3425
400,500,40,114,0.022709449753165245,0.31853582337498665,0.02856663055717945,0.4613578673452139,0.8311697710305452,0.37250000000000005,0.37250000000000005
400,500,40,115,0.022172216325998306,0.31454453244805336,0.01711375266313553,0.4429118651896715,0.7967423666268587,0.26749999999999996,0.265
400,500,40,116,0.0214899443089962,0.37972726859152317,0.018290193751454353,0.4435366038233042,0.8630440104752779,0.275,0.275
400,500,40,117,0.021717295050621033,0.38509707152843475,0.018094852566719055,0.45115157775580883,0.8760607969015837,0.35,0.35
400,500,40,118,0.02223394252359867,0.29047783464193344,0.015532521530985832,0.41619566455483437,0.7444399632513523,0.2825,0.2825
400,500,40,119,0.0210574958473444,0.2878273408859968,0.019488954916596413,0.4455208443105221,0.7738946359604597,0.3425,0.3425
400,500,50,120,0.025768378749489784,0.7851573526859283,0.034194353967905045,0.41068034060299397,1.2558004260063171,0.33499999999999996,0.33499999999999996
400,500,50,121,0.02829740010201931,0.8082766328006983,0.02146056294441223,0.39865993335843086,1.2566945292055607,0.365,0.365
400,500,50,122,0.02579476870596409,0.75983558408916,0.022110844030976295,0.4153248332440853,1.2230660300701857,0.38,0.38
