# T,H,StageI_mean,StageI_lower,StageI_upper,StageII_mean,StageII_lower,StageII_upper,StageII10_mean,StageII10_lower,StageII10_upper
3.000000000000000000e+02,4.000000000000000000e+01,3.999999999999999216e-03,1.333333333333332638e-03,1.333333333333333072e-03,1.222222222222222199e-03,7.777777777777777337e-04,1.000000000000000021e-03,1.222222222222222199e-03,7.777777777777777337e-04,1.000000000000000021e-03
3.000000000000000000e+02,5.000000000000000000e+01,1.666666666666666774e-03,7.777777777777778422e-04,8.888888888888880641e-04,3.333333333333333222e-04,3.333333333333333222e-04,3.333333333333333222e-04,3.333333333333333222e-04,3.333333333333333222e-04,3.333333333333333222e-04
3.000000000000000000e+02,6.000000000000000000e+01,1.111111111111111110e-03,5.555555555555555551e-04,6.666666666666667528e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+02,7.000000000000000000e+01,1.111111111111111164e-04,1.111111111111111164e-04,2.222222222222222058e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+02,8.000000000000000000e+01,1.111111111111111164e-04,1.111111111111111164e-04,2.222222222222222058e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+02,9.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+02,1.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+02,1.000000000000000000e+01,2.315833333333333077e-01,1.908333333333331328e-02,2.025208333333328170e-02,1.744999999999999885e-01,1.999999999999996225e-02,2.158333333333331550e-02,1.059166666666666867e-01,9.333333333333374005e-03,1.058333333333330573e-02
4.000000000000000000e+02,2.000000000000000000e+01,4.916666666666668489e-02,5.083333333333349413e-03,5.335416666666641106e-03,2.150000000000000522e-02,2.583333333333333315e-03,2.499999999999998751e-03,1.908333333333334103e-02,2.416666666666667657e-03,2.333333333333333093e-03
4.000000000000000000e+02,3.000000000000000000e+01,1.300000000000000634e-02,1.833333333333336118e-03,2.000000000000000042e-03,4.500000000000000527e-03,1.250000000000000243e-03,1.333333333333334807e-03,4.500000000000001395e-03,1.250000000000001110e-03,1.333333333333333072e-03
4.000000000000000000e+02,4.000000000000000000e+01,3.250000000000001152e-03,6.666666666666678370e-04,6.666666666666669697e-04,6.666666666666666444e-04,4.166666666666666392e-04,4.999999999999999020e-04,6.666666666666666444e-04,4.166666666666666392e-04,4.999999999999999020e-04
4.000000000000000000e+02,5.000000000000000000e+01,9.166666666666665412e-04,4.999999999999997936e-04,5.833333333333332732e-04,8.333333333333333055e-05,8.333333333333333055e-05,1.666666666666666882e-04,8.333333333333333055e-05,8.333333333333333055e-05,1.666666666666666882e-04
4.000000000000000000e+02,6.000000000000000000e+01,5.000000000000000104e-04,3.333333333333333764e-04,3.333333333333332680e-04,2.500000000000000052e-04,2.500000000000000052e-04,2.520833333333030767e-04,2.500000000000000052e-04,2.500000000000000052e-04,2.520833333333030767e-04
4.000000000000000000e+02,7.000000000000000000e+01,1.666666666666666611e-04,1.666666666666666611e-04,2.500000000000000052e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+02,8.000000000000000000e+01,8.333333333333333055e-05,8.333333333333333055e-05,1.666666666666666882e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+02,9.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+02,1.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+02,1.000000000000000000e+01,2.096666666666666679e-01,1.433333333333333681e-02,1.646666666666662948e-02,1.456000000000000072e-01,1.373333333333334738e-02,1.653333333333331656e-02,8.886666666666666325e-02,5.335000000000006404e-03,5.533333333333362303e-03
5.000000000000000000e+02,2.000000000000000000e+01,4.786666666666669623e-02,4.001666666666667260e-03,3.733333333333331561e-03,1.953333333333334351e-02,1.933333333333338983e-03,1.866666666666669250e-03,1.746666666666667547e-02,1.733333333333336723e-03,1.799999999999999517e-03
5.000000000000000000e+02,3.000000000000000000e+01,1.346666666666667365e-02,2.200000000000002301e-03,2.266666666666665095e-03,4.866666666666669312e-03,1.133333333333334716e-03,1.134999999999976306e-03,4.466666666666668263e-03,9.333333333333337575e-04,9.333333333333337575e-04
